鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,lng,lat
松山區,房地(土地+建物),臺北市松山區南京東路五段61~90號,19.3,商,,,1051229,土地1建物1車位0,三層,十四層,辦公商業大樓,商業用,鋼筋混凝土造,731004.0,177.43,1,1,1,有,有,40000000,225441.0,,0.0,0,,RPSNMLKLKHMFFDA37CA,121.55944070000001,25.0517366
萬華區,房地(土地+建物),臺北市萬華區昆明街271~300號,27.0,商,,,1051201,土地2建物1車位0,一層，騎樓,四層,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,610223.0,110.9,1,1,1,有,無,17808200,160579.0,,0.0,0,,RPQOMLPLJHMFFBA47CA,121.50380120000001,25.0371289
中山區,房地(土地+建物),臺北市中山區農安街1~30號,3.16,商,,,1051229,土地1建物1車位0,八層,十四層,套房(1房1廳1衛),商業用,鋼筋混凝土造,980622.0,50.9,1,1,1,有,有,10200000,200393.0,,0.0,0,價格含增建,RPVQMLMKJHMFFCA87CA,121.5295986,25.064967000000003
內湖區,房地(土地+建物)+車位,臺北市內湖區康樂街136巷15弄1~30號,14.63,住,,,1051206,土地1建物1車位2,五層,十二層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,941123.0,119.63,3,2,2,有,有,13580000,113517.0,坡道機械,45.94,0,價格含增建,RPWQMLMKJHMFFCA97CA,121.61868,25.072009
大安區,房地(土地+建物),臺北市大安區仁愛路四段361~390號,8.12,其他,,,1051225,土地1建物1車位0,四層,十六層,辦公商業大樓,商業用,鋼筋混凝土造,730614.0,75.15,1,1,0,有,無,18100000,240852.0,,0.0,0,,RPWPMLNKJHMFFFA28CA,121.55568390000002,25.0375293
中山區,房地(土地+建物),臺北市中山區撫順街1~30號,4.87,商,,,1051215,土地1建物1車位0,七層,十一層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,851129.0,42.14,1,1,1,有,無,9500000,225439.0,,0.0,0,,RPXOMLOLJHMFFCA28DA,121.520902,25.0635339
內湖區,房地(土地+建物),臺北市內湖區內湖路三段1~30號,4.86,商,,,1051222,土地1建物1車位0,四層,十層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,840125.0,40.85,1,1,1,有,有,7000000,171359.0,,0.0,0,,RPPNMLOKJHMFFCA17CA,121.59277469999999,25.084183300000003
中山區,房地(土地+建物),臺北市中山區樂群二路271~300號,8.96,其他,,,1051219,土地1建物1車位0,五層,十一層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,970603.0,50.52,0,0,1,有,有,11700000,231591.0,,0.0,0,,RPOPMLQKJHMFFCA47CA,121.5606189,25.0799431
內湖區,房地(土地+建物),臺北市內湖區康樂街186巷1~30號,9.89,住,,,1051219,土地1建物1車位0,地下一層,七層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,850517.0,32.27,1,1,1,有,有,3600000,111559.0,,0.0,0,含增建或未登記建物。,RPQNMLRKJHMFFCA57CA,121.6203077,25.0760699
中山區,房地(土地+建物),臺北市中山區林森北路91~120號,4.02,商,,,1051231,土地2建物1車位0,五層,十二層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,710224.0,36.23,1,1,1,有,有,6700000,184930.0,,0.0,0,,RPTPMLRKJHMFFCA08CA,121.52496299999999,25.0500078
大同區,房地(土地+建物),臺北市大同區民樂街181~210號,20.82,其他,,,1051217,土地3建物1車位0,三層，電梯樓梯間,六層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,850807.0,94.33,2,1,1,有,無,12200000,129333.0,,0.0,0,二親等間買賣,RPXOMLRKJHMFFBA28CA,121.510581,25.0595595
