鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,lng,lat
內湖區,房地(土地+建物)+車位,臺北市內湖區康寧路三段56巷151~180號,37.45,住,,,1051216,土地1建物1車位2,二層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,981211.0,250.51,4,2,2,有,有,31800000,126941.0,坡道平面,79.74,0,,RPUOMLKLJHMFFCA47CA,121.611623,25.0705729
內湖區,房地(土地+建物)+車位,臺北市內湖區金湖路331~360號,53.44,住,,,1051206,土地1建物1車位1,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,880318.0,201.03,4,2,2,有,有,35000000,174103.0,坡道平面,0.0,0,,RPOQMLPLJHMFFCA57CA,121.60359,25.073520000000002
中山區,房地(土地+建物)+車位,臺北市中山區新生北路二段68巷1~30號,10.08,商,,,1051228,土地1建物1車位1,五層,十二層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1050602.0,120.33,2,1,1,有,有,22580000,273952.0,坡道平面,45.39,2050000,,RPPPMLSJKHMFFCA77CA,121.527974,25.061014
中山區,房地(土地+建物)+車位,臺北市中山區新生北路二段68巷1~30號,10.62,商,,,1051228,土地1建物1車位1,八層,十二層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1050602.0,125.69,2,1,1,有,有,23880000,272281.0,坡道平面,46.25,2250000,,RPQPMLSJKHMFFCA87CA,121.527974,25.061014
中山區,房地(土地+建物)+車位,臺北市中山區植福路286巷31~60號,47.95,其他,,,1051221,土地1建物1車位2,七層,四十二層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1031229.0,433.91,0,0,0,無,有,164580000,379295.0,坡道平面,75.8,0,,RPSNMLKKKHMFFCA17CA,121.55943390000002,25.0815795
中山區,房地(土地+建物),臺北市中山區北安路821巷2弄1~30號,45.28,住,,,1051117,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,650114.0,117.34,3,2,2,有,無,11300000,96301.0,,0.0,0,親友、員工或其他特殊關係間之交易。,RPSOMLKKKHMFFCA27CA,121.5562817,25.0852895
信義區,房地(土地+建物),臺北市信義區光復南路421巷1~30號,21.27,住,,,1051225,土地2建物1車位0,六層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,115.66,3,2,2,有,無,25080000,216842.0,,0.0,0,含增建或未登記建物。,RPWPMLMKJHMFFDA97CA,121.5579595,25.036239300000002
信義區,房地(土地+建物)+車位,臺北市信義區吳興街600巷100弄1~30號,36.47,住,,,1051227,土地1建物1車位2,十一層，見其他登記事項,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030108.0,255.74,1,1,2,有,有,45000000,175960.0,升降機械,0.0,4400000,,RPSOMLNKJHMFFDA57CA,121.57283500000001,25.017653
松山區,房地(土地+建物),臺北市松山區三民路121~150號,31.75,住,,,1051209,土地1建物1車位0,一層,四層,店面(店鋪),住家用,鋼筋混凝土造,,65.3,0,0,0,無,無,32000000,490046.0,,0.0,0,,RPVOMLSKJHMFFDA38CA,121.5633312,25.061144
信義區,房地(土地+建物),臺北市信義區永吉路181~210號,21.03,商,,,1051207,土地2建物2車位0,一層，騎樓,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,701231.0,147.7,0,0,0,無,有,38000000,257278.0,,0.0,0,,RPPNMLNLJHMFFDA27CA,121.571964,25.045853
