鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,lng,lat
信義區,車位,臺北市信義區忠孝東路五段215巷1~30號,4.05,住,,,1060102,土地0建物0車位1,地下一層，地下二層,六層,其他,見使用執照,鋼筋混凝土造,831129.0,28.37,0,0,0,有,有,1750000,,升降機械,0.0,1750000,,RPPNMLRKJHMFFDA57CA,121.58191799999999,25.043939
信義區,車位,臺北市信義區松德路151~180號,0.09,住,,,1051222,土地0建物0車位1,地下四層,二十一層,其他,見使用執照,鋼骨混凝土造,841212.0,35.04,0,0,0,有,有,3380000,,其他,35.04,338,,RPROMLQKJHMFFDA77CA,121.574876,25.036644
信義區,車位,臺北市信義區光復南路419巷1~30號,6.63,商,,,1051223,土地0建物0車位1,地下層,七層,其他,見使用執照,鋼筋混凝土造,,32.74,0,0,0,有,無,3220000,,升降平面,32.74,3220000,,RPVPMLOKKHMFFDA18CA,121.55797109999999,25.036457100000003
文山區,車位,臺北市文山區木柵路二段109巷91~120號,9.39,住,,,1060102,土地0建物0車位1,地下一層,八層,其他,見使用執照,鋼筋混凝土造,821206.0,18.58,0,0,0,有,無,980000,,升降機械,18.58,980000,,RPTNMLMLKHMFFAA37CA,121.563911,24.991524
士林區,車位,臺北市士林區中山北路七段81巷1~30號,1.88,住,,,1051201,土地0建物0車位1,地下三層,十九層,其他,見使用執照,鋼筋混凝土造,811124.0,29.92,0,0,0,有,有,2500000,,坡道平面,29.92,2500000,,RPOPMLLKJHMFFEA17CA,121.5310804,25.1216193
南港區,房地(土地+建物),臺北市南港區東新街180巷1~30號,20.34,住,,,1051212,土地1建物1車位0,地下一層,十二層,住宅大樓(11層含以上有電梯),見使用執照,鋼筋混凝土造,920107.0,71.43,0,0,1,無,有,9900000,138597.0,,0.0,0,,RPQNMLPLJHMFFDA57CA,121.59360500000001,25.046307000000002
南港區,房地(土地+建物),臺北市南港區東新街180巷1~30號,20.99,住,,,1051212,土地1建物1車位0,地下二層,十二層,住宅大樓(11層含以上有電梯),見使用執照,鋼筋混凝土造,920107.0,75.03,2,2,1,有,有,11800000,157270.0,,0.0,0,,RPSNMLPLJHMFFDA77CA,121.59360500000001,25.046307000000002
萬華區,房地(土地+建物),臺北市萬華區萬大路121~150號,22.94,住,,,1051208,土地2建物1車位0,地下層,七層,華廈(10層含以下有電梯),見使用執照,鋼筋混凝土造,690119.0,218.21,4,1,2,有,無,8500000,38953.0,,0.0,0,,RPTOMLMKJHMFFBA37CA,121.5005684,25.029338199999998
內湖區,車位,臺北市內湖區內湖路三段72巷31~60號,4.24,住,,,1060103,土地0建物0車位1,地下二層,二十層,其他,見使用執照,鋼筋混凝土造,830729.0,40.45,0,0,0,有,有,1900000,,坡道平面,40.45,1900000,,RPRPMLQKJHMFFCA77CA,121.59163600000001,25.087184
萬華區,房地(土地+建物),臺北市萬華區成都路61~90號,5.0,商,,,1051109,土地1建物1車位0,八層,十三層,套房(1房1廳1衛),見使用執照,見使用執照,911224.0,53.99,1,0,1,有,有,9700000,179663.0,,0.0,0,,RPTNMLKLJHMFFBA17CA,121.50583629999998,25.0429189
信義區,車位,臺北市信義區松德路151~180號,0.09,住,,,1051222,土地0建物0車位1,地下四層,二十一層,其他,見使用執照,鋼骨混凝土造,841212.0,35.04,0,0,0,有,有,3380000,,其他,35.04,338,,RPROMLQKJHMFFDA77CA,121.574876,25.036644
信義區,車位,臺北市信義區忠孝東路五段215巷1~30號,4.05,住,,,1060102,土地0建物0車位1,地下一層，地下二層,六層,其他,見使用執照,鋼筋混凝土造,831129.0,28.37,0,0,0,有,有,1750000,,升降機械,0.0,1750000,,RPPNMLRKJHMFFDA57CA,121.58191799999999,25.043939
大安區,房地(土地+建物)+車位,臺北市大安區瑞安街181~210號,12.82,住,,,1051214,土地1建物1車位1,一層，停車場,七層,店面(店鋪),見使用執照,鋼筋混凝土造,670417.0,149.88,0,0,1,有,無,6510500,43438.0,一樓平面,0.0,0,親友、員工或其他特殊關係間之交易。,RPVOMLOLJHMFFFA28CA,121.53885359999998,25.025533399999997
內湖區,車位,臺北市內湖區成功路五段152巷1~30號,3.88,住,,,1060105,土地0建物0車位2,一層,十二層,其他,見使用執照,鋼筋混凝土造,850425.0,76.87,0,0,0,有,有,4400000,,坡道平面,76.86,4400000,親友、員工或其他特殊關係間之交易。,RPPRMLOLJHMFFCA67CA,121.60132340000001,25.084093399999997
文山區,房地(土地+建物),臺北市文山區萬安街1~30號,10.28,住,,,1060102,土地1建物1車位0,一層，二層,八層,華廈(10層含以下有電梯),見使用執照,鋼筋混凝土造,830427.0,36.69,3,2,2,有,無,5500000,149905.0,,0.0,0,,RPTNMLSKJHMFFAA77CA,121.57081299999999,25.002091
中山區,車位,臺北市中山區新生北路二段28巷1~30號,0.76,其他,,,1051222,土地0建物0車位1,地下三層,十五層,其他,見使用執照,鋼筋混凝土造,780517.0,32.03,0,0,0,有,有,2000000,,坡道平面,0.0,2000000,親友、員工或其他特殊關係間之交易。,RPPNMLLLJHMFFCA96CA,121.5270172,25.0538935
中山區,車位,臺北市中山區新生北路二段28巷1~30號,0.76,其他,,,1051222,土地0建物0車位1,地下三層,十五層,其他,見使用執照,鋼筋混凝土造,780517.0,32.03,0,0,0,有,有,2000000,,坡道平面,0.0,2000000,親友、員工或其他特殊關係間之交易。,RPXNMLKLKHMFFCA77CA,121.5270172,25.0538935
信義區,車位,臺北市信義區東興路31~60號,15.08,工,,,1060104,土地0建物0車位4,地下三層,十一層,其他,見使用執照,鋼筋混凝土造,820205.0,122.79,0,0,0,有,有,12400000,,坡道平面,122.76,12400000,,RPQNMLLLJHMFFDA17CA,121.56585590000002,25.048614699999998
北投區,房地(土地+建物),臺北市北投區泉源路61~90號,4.72,住,,,1060101,土地3建物1車位0,一層,五層,公寓(5樓含以下無電梯),見使用執照,鋼筋混凝土造,681101.0,106.57,3,2,2,有,無,4400000,41287.0,,0.0,0,親友、員工或其他特殊關係間之交易。權利人2人土地及建物分次登記案件。,RPWNMLTKJHMFFEA68DA,121.5140756,25.141899
南港區,車位,臺北市南港區南港路三段91~120號,1.37,商,,,1051209,土地0建物0車位1,地下二層,九層,其他,見使用執照,鋼筋混凝土造,810317.0,23.25,0,0,0,有,有,1300000,,升降平面,0.0,1300000,受債權債務影響或債務抵償之交易。,RPVNMLOKKHMFFDA08DA,121.587827,25.052840399999997
大安區,車位,臺北市大安區仁愛路四段345巷15弄1~30號,6.63,住,,,1060105,土地0建物0車位1,見使用執照,六層,其他,見使用執照,鋼筋混凝土造,750609.0,29.38,0,0,0,有,無,2900000,,坡道平面,29.38,2900000,,RPPNMLKLJHMFFFA27DA,121.54402179999998,25.0382984
大安區,車位,臺北市大安區仁愛路四段61~90號,8.68,其他,,,1051230,土地0建物0車位2,地下二層,十四層,其他,見使用執照,鋼筋混凝土造,720725.0,91.66,0,0,0,有,有,11000000,,坡道平面,91.66,11000000,,RPQOMLKLJHMFFFA37CA,121.5466173,25.038273699999998
萬華區,車位,臺北市萬華區武昌街二段61~90號,1.53,商,,,1060102,土地0建物0車位1,地下二層,十一層,其他,見使用執照,鋼筋混凝土造,710908.0,26.55,0,0,0,有,有,1400000,,坡道平面,0.0,1400000,,RPPOMLNLJHMFFBA17CA,121.507065,25.044800600000002
信義區,車位,臺北市信義區松德路151~180號,3.43,其他,,,1060110,土地0建物0車位1,地下層,十六層,其他,見使用執照,鋼筋混凝土造,800309.0,37.54,0,0,0,有,有,3200000,,坡道平面,37.54,3200000,,RPTPMLOLJHMFFDA97CA,121.574876,25.036644
內湖區,車位,臺北市內湖區康寧路三段189巷80弄1~30號,0.05,住,,,1060110,土地0建物0車位1,地下層,五層,其他,見使用執照,鋼筋混凝土造,810430.0,38.34,0,0,0,有,無,1000000,,升降機械,0.0,1000000,,RPSNMLLJLHMFFCA37DA,121.61283259999999,25.0725947
北投區,房地(土地+建物),臺北市北投區明德路271~300號,2.17,商,,,1051201,土地1建物2車位0,一層，騎樓,九層,華廈(10層含以下有電梯),見使用執照,鋼筋混凝土造,740515.0,18.5,0,0,0,無,有,3000000,162250.0,,0.0,0,本案件為二親等間買賣,RPPPMLPLJHMFFEA77CA,121.52227820000002,25.114571899999998
松山區,車位,臺北市松山區八德路二段437巷6弄1~30號,0.94,住,,,1060113,土地0建物0車位1,一層,十二層,其他,見使用執照,鋼骨鋼筋混凝土造,911030.0,44.94,0,0,0,有,無,2790000,,坡道平面,0.0,2790000,,RPUOMLPLJHMFFDA08CA,121.54694599999999,25.0491393
士林區,房地(土地+建物)+車位,臺北市士林區承德路四段91~120號,39.17,住,,,1060101,土地2建物1車位1,二層,十四層,住宅大樓(11層含以上有電梯),見使用執照,鋼骨鋼筋混凝土造,910821.0,289.96,3,2,2,有,有,65000000,254824.0,坡道平面,45.87,2800000,,RPPPMLLLKHMFFEA47CA,121.5239115,25.0832807
信義區,房地(土地+建物),臺北市信義區富陽街31~60號,4.46,住,,,1060109,土地1建物1車位0,地下一層,七層,華廈(10層含以下有電梯),見使用執照,鋼筋混凝土造,851125.0,29.07,0,0,0,無,有,1000000,34400.0,,0.0,0,,RPTQMLQJKHMFFDA18CA,121.556495,25.0229209
萬華區,車位,臺北市萬華區西園路一段136巷16弄1~30號,0.58,商,,,1060117,土地0建物0車位1,地下層,十二層,其他,見使用執照,鋼筋混凝土造,790122.0,26.56,0,0,0,有,有,1200000,,升降平面,26.56,1200000,,RPTOMLKKKHMFFBA27CA,121.4989712,25.037861
文山區,房地(土地+建物),臺北市文山區羅斯福路四段181~210號,6.52,商,,,1051208,土地3建物1車位0,六層,十層,套房(1房1廳1衛),見使用執照,鋼筋混凝土造,861024.0,41.35,1,1,1,有,有,6730000,162757.0,,0.0,0,共有人數2人。含增建或未登記建物。權利人地址街名為難字無法顯示。,RPWNMLPLJHMFFAA87CA,121.5370138,25.0104295
松山區,車位,臺北市松山區南京東路五段250巷1~30號,4.02,住,,,1060113,土地0建物0車位1,地下層,六層,其他,見使用執照,鋼筋混凝土造,660524.0,23.9,0,0,0,有,有,2500000,,坡道平面,23.9,2500000,,RPVNMLSJKHMFFDA28CA,121.55736740000002,25.0518185
松山區,房地(土地+建物),臺北市松山區八德路三段211~240號,0.15,商,,,1060106,土地2建物1車位0,地下二層,十二層,辦公商業大樓,見使用執照,鋼筋混凝土造,771223.0,178.86,0,0,0,無,有,18936803,105875.0,,0.0,0,親友、員工或其他特殊關係間之交易。買賣價金由買賣雙方自行交付,RPTNMLRKKHMFFDA18DA,121.5565543,25.048206699999998
