鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元,備註,編號,lng,lat
萬華區,建物,臺北市萬華區康定路91~120號,0,商,,,1051230,土地0建物1車位0,十二層,26,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1050331,87.45,3,1,1,有,有,有,30000,343,,0,0,,RPTNMLNJJHMFFBA47CC,121.5020696,25.0397957
中正區,建物,臺北市中正區博愛路61~90號,0,商,,,1051207,土地0建物1車位0,一層,4,店面(店鋪),,磚造,,86.88,0,0,0,無,無,無,100000,1151,,0,0,,RPUOMLNJJHMFFBA67CC,121.511631,25.044276
大同區,建物,臺北市大同區重慶北路一段26巷61~90號,0,商,,,1051213,土地0建物1車位0,一層,2,店面(店鋪),,土磚石混合造,,53.99,1,0,1,有,無,有,33000,611,,0,0,只有承租一樓,RPSNMLOJJHMFFBA47CC,121.5124907,25.0514559
萬華區,建物,臺北市萬華區南寧路31~60號,0,商,,,1051217,土地0建物2車位0,一層,12,店面(店鋪),見使用執照,鋼筋混凝土造,800925,391.18,1,0,1,有,無,有,85000,217,,0,0,承租範圍1+B1,RPUNMLOJJHMFFBA67CC,121.5047539,25.0367725
萬華區,建物,臺北市萬華區德昌街1~30號,0,住,,,1051226,土地0建物1車位0,全,3,透天厝,住家用,加強磚造,580501,233.24,0,0,0,無,無,無,65000,279,,0,0,,RPUOMLOJJHMFFBA77CC,121.5000983,25.0253684
中正區,建物,臺北市中正區杭州北路1~30號,0,商,,,1051209,土地0建物1車位0,十二層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,740808,136.67,3,1,1,有,有,有,55000,402,,0,0,,RPRPMLOJJHMFFBA57CC,121.5273338,25.0448902
北投區,建物,臺北市北投區中和街錫安巷66弄1~30號,0,住,,,1051231,土地0建物1車位1,全,2,透天厝,住家用,鋼筋混凝土造,831012,318.51,5,3,3,有,有,有,80000,251,一樓平面,0,0,,RPSNMLOJJHMFFEA77CC,121.5004294,25.147431
士林區,建物,臺北市士林區文林路481~510號,0,商,,,1051229,土地0建物1車位0,八層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030423,193.35,3,1,2,有,有,有,80000,414,,0,0,,RPOOMLOJJHMFFEA47CC,121.5242219,25.0961227
士林區,建物,臺北市士林區忠誠路二段181~210號,0,住,,,1051231,土地0建物1車位1,十五層,26,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,841103,406.68,4,2,2,有,有,無,180000,443,坡道平面,0,0,,RPPOMLOJJHMFFEA57CC,121.5339561,25.1163995
士林區,建物,臺北市士林區天母東路69巷1~30號,0,住,,,1041205,土地0建物1車位0,五層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,750806,211.53,3,2,3,有,有,有,100000,473,,0,0,,RPRQMLOJJHMFFEA97CC,121.5343698,25.1185309
