鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺.1,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺.2,租金總額元,備註,編號,lng,lat
中山區,建物,臺北市中山區中山北路二段121~150號,0.0,商,,,1051223,土地0建物1車位0,五層,14.0,辦公商業大樓,商業用,鋼骨鋼筋混凝土造,930319.0,217.74,4,1,0,有,有,有,138000,634.0,,0.0,0,,RPVPMLKKJHMFFCA77CC,121.5231156,25.0612094
信義區,建物,臺北市信義區忠孝東路五段481~510號,0.0,,,,1051216,土地0建物1車位2,八層,27.0,辦公商業大樓,商業用,鋼骨混凝土造,820813.0,195.4,4,1,2,有,有,無,100000,512.0,坡道平面,0.0,0,,RPVNMLLKJHMFFDA77CC,121.577475,25.041004
中山區,建物,臺北市中山區林森北路301~330號,0.0,商,,,1060101,土地0建物1車位0,七層,14.0,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,920213.0,82.32,1,2,1,有,有,有,36000,437.0,,0.0,0,,RPSNMLLKJHMFFCA37CC,121.525628,25.055792999999998
中山區,建物,臺北市中山區新生北路三段31~60號,0.0,商,,,1051223,土地0建物1車位0,四層,10.0,套房(1房1廳1衛),商業用,鋼筋混凝土造,830926.0,41.7,1,1,1,有,有,有,16500,396.0,,0.0,0,,RPPPMLLKJHMFFCA27CC,121.52805759999998,25.064686899999998
大安區,建物,臺北市大安區忠孝東路四段331~360號,17.62,商,,,1051228,土地0建物1車位0,十二層,12.0,辦公商業大樓,商業用,鋼筋混凝土造,,187.93,0,0,0,無,有,無,83000,442.0,,0.0,0,,RPTOMLLKJHMFFFA87CC,121.5569113,25.0416628
中正區,建物,臺北市中正區襄陽路1~30號,0.0,商,,,1051223,土地0建物1車位0,十六層,21.0,辦公商業大樓,商業用,見使用執照,861125.0,403.47,0,0,0,無,有,無,238000,590.0,,0.0,0,承租16F-A區，面積共計122.06坪,RPSNMLLKJHMFFBA27CC,121.51645420000001,25.043496700000002
中正區,建物,臺北市中正區懷寧街61~90號,0.0,商,,,1051214,土地0建物1車位0,八層,12.0,辦公商業大樓,商業用,鋼筋混凝土造,830701.0,118.91,2,0,2,有,有,有,42000,353.0,,0.0,0,,RPVNMLLKJHMFFBA57CC,121.5140932,25.043810399999998
中正區,建物,臺北市中正區許昌街1~30號,0.0,商,,,1060103,土地0建物1車位0,四層,8.0,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,801126.0,264.71,5,1,2,有,有,有,150000,567.0,,0.0,0,,RPUOMLLKJHMFFBA57CC,121.5163831,25.045359
中正區,建物,臺北市中正區愛國西路1~30號,0.0,商,,,1051226,土地0建物1車位0,二層,8.0,辦公商業大樓,商業用,鋼筋混凝土造,710922.0,45.72,1,1,1,有,有,無,18000,394.0,,0.0,0,,RPWOMLLKJHMFFBA77CC,121.5142953,25.0356043
北投區,建物,臺北市北投區百齡五路344巷1~30號,0.0,住,,,1051227,土地0建物1車位1,五層,10.0,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,791211.0,209.3,1,1,1,有,有,有,65000,311.0,升降平面,0.0,0,,RPTQMLMKJHMFFEA08CC,121.5042838,25.1177497
