鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺.1,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺.2,租金總額元,備註,編號,lng,lat
信義區,建物,臺北市信義區基隆路一段121~150號,0.0,,,,1051213,土地0建物1車位0,十層,13.0,其他,住家用,見其他登記事項,950126.0,104.32,0,0,0,無,有,無,35000,336.0,,0.0,0,建物型態:住辦,RPRPMLNLJHMFFDA87CC,121.5669716,25.0447812
松山區,建物,臺北市松山區復興北路151~180號,0.0,商,,,1060110,土地0建物1車位0,八層,12.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,78.84,1,1,1,有,有,無,34000,431.0,,0.0,0,50天免租金，便於承租方申請公司登記及裝修期。租賃稅、健保費承租方負擔。,RPWQMLNLJHMFFDA48CC,121.544471,25.053642899999996
松山區,建物,臺北市松山區復興北路151~180號,0.0,商,,,1060112,土地0建物1車位0,十一層,12.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,104.27,1,1,1,有,有,無,40000,384.0,,0.0,0,,RPORMLNLJHMFFDA77CC,121.544471,25.053642899999996
中正區,建物,臺北市中正區仁愛路二段31~60號,0.0,住,,,1060120,土地0建物1車位0,六層,12.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,93.72,2,1,1,有,有,無,38000,405.0,,0.0,0,,RPTPMLNLJHMFFBA87CC,121.52796459999999,25.0385658
大同區,建物,臺北市大同區承德路三段24巷1~30號,0.0,商,,,1060103,土地0建物1車位0,三層,7.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,670110.0,103.54,2,2,2,有,有,有,23500,227.0,,0.0,0,,RPQQMLNLJHMFFBA67CC,121.51858200000001,25.0633359
大同區,建物,臺北市大同區民權西路151~180號,0.0,商,,,1060112,土地0建物1車位0,十三層,13.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1031029.0,100.05,2,2,2,有,有,有,53000,530.0,,0.0,0,租金含管理費、有線網路費用,RPSQMLNLJHMFFBA87CC,121.5164756,25.063140399999998
士林區,建物,臺北市士林區忠誠路一段171巷12弄1~30號,0.0,住,,,1051221,土地0建物1車位1,八層,12.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,981231.0,206.37,4,2,2,有,有,有,76500,371.0,坡道平面,19.26,0,租金內含管理費及地下平面車位,RPUSMLNLJHMFFEA58CC,121.53116229999999,25.106360199999997
士林區,建物,臺北市士林區中山北路七段220巷1~30號,0.0,住,,,1060101,土地0建物1車位0,六層,7.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,691115.0,229.34,5,2,3,有,有,無,65000,283.0,,0.0,0,,RPTTMLNLJHMFFEA58CC,121.532604,25.126537
士林區,建物,臺北市士林區中山北路七段14巷1~30號,0.0,住,,,1060101,土地0建物1車位0,六層,7.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,770119.0,146.85,3,2,2,有,有,有,70000,477.0,,0.0,0,租金含管理費,RPSUMLNLJHMFFEA58CC,121.532582,25.119108999999998
文山區,建物,臺北市文山區羅斯福路六段469巷1~30號,0.0,商,,,1060116,土地0建物1車位1,十四層,18.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1011112.0,170.91,3,2,2,有,有,有,57000,334.0,坡道機械,22.68,0,,RPSOMLNLJHMFFAA57CC,121.53997759999999,24.989883199999998
中正區,建物,臺北市中正區重慶南路三段16巷1~30號,0.0,住,,,1060114,土地0建物1車位0,三層,4.0,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,74.54,2,1,1,有,無,無,20000,268.0,,0.0,0,,RPVNMLOLJHMFFAA87CC,121.51524409999999,25.0290016
大安區,建物,臺北市大安區新生南路一段121~150號,0.0,住,,,1060105,土地0建物1車位0,九層,12.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,750613.0,235.11,7,1,2,有,有,有,80000,340.0,,0.0,0,,RPXNMLOLJHMFFFA58CC,121.5330273,25.0391523
大安區,建物,臺北市大安區瑞安街208巷31~60號,39.04,住,,,1060120,土地0建物1車位0,一層,7.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1040511.0,39.04,1,1,1,有,有,有,40000,1025.0,,0.0,0,,RPPOMLOLJHMFFFA87CC,121.5405555,25.0294674
士林區,建物,臺北市士林區士商路121~150號,0.0,住,,,1060101,土地0建物1車位2,九層,12.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,930504.0,188.58,3,2,2,有,有,有,65000,345.0,坡道平面,59.6,0,,RPVOMLOLJHMFFEA38CC,121.51609520000001,25.0955567
士林區,建物,臺北市士林區福榮街1~30號,0.0,商,,,1051223,土地0建物0車位0,全,2.0,透天厝,住家用,磚造,510420.0,111.96,0,0,0,無,無,無,38000,339.0,,0.0,0,,RPPPMLOLJHMFFEA87CC,121.5268834,25.097167499999998
大同區,建物,臺北市大同區市民大道一段181~210號,0.0,其他,,,1060117,土地0建物1車位0,十層,18.0,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,980724.0,78.02,2,1,1,有,有,有,60000,769.0,,0.0,0,租金內含管理費,RPOOMLOLJHMFFBA37CC,121.5164017,25.0488651
萬華區,建物,臺北市萬華區康定路91~120號,0.0,商,,,1051227,土地0建物1車位0,二十層,26.0,套房(1房1廳1衛),住家用,見其他登記事項,1050331.0,56.19,1,1,1,有,有,有,23000,409.0,,0.0,0,租金含管理費及第四台。,RPUOMLOLJHMFFBA97CC,121.5020696,25.0397957
萬華區,建物,臺北市萬華區康定路91~120號,0.0,商,,,1051228,土地0建物1車位0,八層,26.0,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1050331.0,63.45,2,1,1,有,有,有,28000,441.0,,0.0,0,租金含管理費。,RPQPMLOLJHMFFBA67CC,121.5020696,25.0397957
萬華區,建物,臺北市萬華區康定路91~120號,0.0,商,,,1051230,土地0建物1車位0,六層,26.0,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1050331.0,61.91,2,1,1,有,有,有,25000,404.0,,0.0,0,租金含管理費。,RPSPMLOLJHMFFBA87CC,121.5020696,25.0397957
信義區,建物,臺北市信義區莊敬路423巷7弄1~30號,0.0,住,,,1060119,土地0建物1車位0,一層,4.0,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,93.98,3,2,2,有,無,有,38000,404.0,,0.0,0,,RPWNMLOLJHMFFDA28CC,121.566882,25.028425
信義區,建物,臺北市信義區信義路五段91~120號,0.0,其他,,,1060120,土地0建物1車位1,十四層,19.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,980702.0,106.41,0,0,0,無,有,有,28000,263.0,坡道平面,59.69,0,租金含管理費含車位，管理費由出租人支付；地上3~19層用途:集合住宅,RPXNMLOLJHMFFDA38CC,121.56511370000001,25.0326825
信義區,建物,臺北市信義區吳興街600巷31~60號,0.0,住,,,1060120,土地0建物1車位1,八層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,821201.0,265.87,3,2,3,有,無,有,70000,263.0,坡道平面,0.0,0,,RPVPMLOLJHMFFDA38CC,121.569676,25.020885
松山區,建物,臺北市松山區富錦街451~480號,0.0,其他,,,1060101,土地0建物1車位0,一層,4.0,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,96.3,0,0,0,無,無,無,32500,337.0,,0.0,0,,RPXPMLOLJHMFFDA58CC,121.5616543,25.0609025
中山區,建物,臺北市中山區長春路391~420號,0.0,商,,,1060117,土地0建物1車位0,八層,12.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,780710.0,64.95,1,1,1,有,無,無,25000,385.0,,0.0,0,,RPOQMLOLJHMFFCA67CC,121.54591570000001,25.0545227
中山區,建物,臺北市中山區吉林路331~360號,0.0,住,,,1060119,土地0建物1車位0,一層,4.0,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,630830.0,86.0,0,0,1,有,無,無,44444,517.0,,0.0,0,,RPXQMLOLJHMFFCA58CC,121.53045060000001,25.064030399999996
